,job_title,company_name,location,date_posted,experience,currency,min_salary,max_salary,median_salary
64,Business Data Analyst -GBS APAC - 2025 Start,RECRUIT EXPRESS PTE LTD,Singapore,Posted 15 days ago,1,,,,
65,Data Analyst | Bank | Contract,RANDSTAD PTE. LIMITED,Singapore,Posted 17 days ago,,USD,90000.0,108000.0,99000.0
66,"6 Months Data Analyst, Raffles Place",,Singapore,Posted 17 days ago,,USD,48000.0,54000.0,51000.0
67,Data Analyst,Razer (Asia-Pacific) Pte Ltd,"Singapore, Bukit Merah, Jalan Bukit Merah",Posted 17 days ago,,USD,60000.0,72000.0,66000.0
68,Actuarial Data Analyst,AMBITION GROUP SINGAPORE PTE. LTD.,"Singapore, Cross Street",Posted 17 days ago,,USD,54000.0,108000.0,81000.0
69,Data Analyst,IMKEY PTE. LTD.,"Orchard Road, Singapore",Posted 17 days ago,,USD,54000.0,63600.0,58800.0
70,*Urgent- NEW* 6 Months Contract Data Analyst (Banking Sector)- ($3500-$4000) #NJE,INFOCEPTS PTE. LTD.,"Orchard Road, Singapore",Posted 17 days ago,,USD,42000.0,48000.0,45000.0
71,"6 Months Data Analyst, Tampines",ERNST & YOUNG ADVISORY PTE. LTD.,Singapore,Posted 17 days ago,,USD,66000.0,78000.0,72000.0
72,"Temp Data Analyst Executive, Population Health Management (3 months) #HMS",TikTok,Singapore,Posted 17 days ago,,USD,44400.0,50400.0,47400.0
73,"Downstream Architect (Data Analyst, Google Cloud) #IAC",MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,"Orchard Road, Singapore",Posted 17 days ago,,USD,72000.0,108000.0,90000.0
74,Data Analyst (Proficient in Tamil/Punjabi Language),HUDSON RPO (SINGAPORE) PTE. LTD.,Singapore,Posted 17 days ago,,USD,72000.0,102000.0,87000.0
75,Data Analyst,KERRY LOGISTICS MANAGEMENT (ASIA) PTE. LTD.,"Science Park, Singapore",Posted 17 days ago,,USD,60000.0,78000.0,69000.0
76,Healthcare Data Analyst (WEST) #HJW,MUNICH MANAGEMENT PTE. LTD.,"Orchard Road, Singapore",Posted 17 days ago,1,USD,42000.0,54000.0,48000.0
77,Senior Data Analyst,RECRUIT EXPRESS PTE LTD,"Singapore, North Bridge",Posted 17 days ago,,USD,96000.0,132000.0,114000.0
78,Data Analyst Intern (Minimum 5-Month Commitment),RECRUIT EXPRESS PTE LTD,"Singapore, Tai Seng",Posted 17 days ago,1,USD,12000.0,18000.0,15000.0
79,Data Analyst Specialist - WC2,HUDSON RPO (SINGAPORE) PTE. LTD.,Singapore,Posted 17 days ago,,USD,48000.0,84000.0,66000.0
80,IT Data Analyst,RECRUIT EXPRESS PTE LTD,"Singapore, Robinson",Posted 17 days ago,,USD,66000.0,102000.0,84000.0
81,Data Analyst,RECRUIT EXPRESS PTE LTD,"Shenton Way, Singapore",Posted 17 days ago,,USD,84000.0,114000.0,99000.0
82,Data Analyst,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,"Singapore, Toa Payoh",Posted 17 days ago,,USD,55200.0,72000.0,63600.0
83,Business Data Analyst,,"Singapore, Thomson",Posted 17 days ago,,USD,72000.0,96000.0,84000.0
84,Business Data Analyst (JD#9846),AMBITION GROUP SINGAPORE PTE. LTD.,Singapore,Posted 17 days ago,,USD,60000.0,78000.0,69000.0
85,Data Analyst (Population Health Analytics),RANDSTAD PTE. LIMITED,"Singapore, North Buona Vista",Posted 17 days ago,,USD,60000.0,96000.0,78000.0
86,Business Data Analyst (JD#9879),RECRUIT EXPRESS PTE LTD,Singapore,Posted 17 days ago,,USD,66000.0,78000.0,72000.0
87,"Snr/ Research Data Analyst, Healthcare REF: EN",NETWORK GUARD PTE. LTD.,"Singapore, North Bridge",Posted 17 days ago,,USD,42000.0,78000.0,60000.0
88,"Data Analyst, Trust & Safety - 6 months contract",ESGPEDIA PTE. LTD.,"Singapore, Raffles Link / Raffles Place",Posted 17 days ago,,USD,60000.0,67200.0,63600.0
89,3 months Contract Data Analyst *Healthcare*,WECRUIT PTE. LTD.,Singapore,Posted 17 days ago,,USD,33600.0,42000.0,37800.0
90,Data Analyst | Bank | Contract,EPS COMPUTER SYSTEMS PTE LTD,Singapore,Posted 17 days ago,,USD,54000.0,96000.0,75000.0
91,Data Analyst (JD#9883),LYNEER CORP (SINGAPORE) PTE. LTD.,Singapore,Posted 17 days ago,,USD,48000.0,60000.0,54000.0
92,Data Analyst Intern,SEMBCORP SOLAR SINGAPORE PTE. LTD.,Singapore,Posted 17 days ago,1,,,,
93,Data Analyst,SHARKNINJA APAC HOLDING PTE. LTD.,"Singapore, Robinson",Posted 17 days ago,,USD,66000.0,102000.0,84000.0
94,Senior Actuarial Data Analyst,SCIENTE INTERNATIONAL PTE. LTD.,"Singapore, Cross Street",Posted 17 days ago,,USD,60000.0,108000.0,84000.0
95,"Temp Data Analyst Executive, Population Health Management (3 months) #HMS",SYNAPXE PTE. LTD.,Singapore,Posted 17 days ago,,USD,44400.0,50400.0,47400.0
96,Data Analyst (Live Commerce),SCIENTE INTERNATIONAL PTE. LTD.,"Pasir Panjang, Singapore",Posted 17 days ago,,USD,60000.0,96000.0,78000.0
97,3 Months Temp Executive - Data Analyst ( Healthcare) - One North,JOBSTUDIO PTE. LTD.,"Orchard Road, Singapore",Posted 17 days ago,,USD,36000.0,50400.0,43200.0
98,"Data Analyst, ETL (Reputable sports retail)) #NJH",HAYS SPECIALIST RECRUITMENT PTE. LTD.,Singapore,Posted 17 days ago,,USD,72000.0,84000.0,78000.0
99,*FMCG* 15 Months Data Analyst ($6000 to $7000) #NJN,RECRUIT EXPRESS PTE LTD,Singapore,Posted 17 days ago,,USD,72000.0,84000.0,78000.0
100,Data Analyst (Apprenticeship Programme),,"Singapore, Battery Road",Posted 17 days ago,,USD,20400.0,24000.0,22200.0
101,Data Analyst (Proficient in German Language),RANDSTAD PTE. LIMITED,Singapore,Posted 17 days ago,,USD,72000.0,96000.0,84000.0
102,Data Analyst (Healthcare Sector) - #SM,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Singapore,Posted 17 days ago,,USD,57600.0,69600.0,63600.0
103,#SGUNITED JOBS Data Analyst,SCIENTE INTERNATIONAL PTE. LTD.,Singapore,Posted 17 days ago,,USD,60000.0,108000.0,84000.0
104,Functional Data Analyst (Shipping Logistic BG),ADDX,"Orchard Road, Singapore",Posted 17 days ago,,USD,63600.0,68400.0,66000.0
105,Healthcare Data Analyst (WEST) #HJW,EPS COMPUTER SYSTEMS PTE LTD,"Orchard Road, Singapore",Posted 17 days ago,1,USD,42000.0,54000.0,48000.0
106,Senior Data Analyst,MUNICH MANAGEMENT PTE. LTD.,"Singapore, North Bridge",Posted 17 days ago,,USD,96000.0,132000.0,114000.0
107,"Junior Data Analyst (1 Year Contract) | Up to $3,000/mth [ID:ELLL]",RECRUIT EXPRESS PTE LTD,"Singapore, Raffles Link / Raffles Place",Posted 17 days ago,,USD,33600.0,36000.0,34800.0
108,Senior Data Analyst,CHEIL SINGAPORE PTE. LTD.,"Singapore, Cecil Street",Posted 17 days ago,,USD,60000.0,72000.0,66000.0
109,Senior Data Analyst - 4 months contract,RECRUIT EXPRESS PTE LTD,"Singapore, Raffles Link / Raffles Place",Posted 17 days ago,,USD,132000.0,156000.0,144000.0
110,Data Analyst (Healthcare),RECRUIT EXPRESS PTE LTD,Singapore,Posted 17 days ago,,USD,48000.0,54000.0,51000.0
111,"Data Analyst (1-year contract, with possibility of renewal)",RECRUIT EXPRESS PTE LTD,"Singapore, Maxwell",Posted 17 days ago,,USD,30000.0,48000.0,39000.0
112,Data Analyst (JD#9845),SMARTKARMA INNOVATIONS PTE. LTD.,Singapore,Posted 17 days ago,,USD,48000.0,72000.0,60000.0
113,Senior Data Analyst,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,"Singapore, Thomson",Posted 17 days ago,,USD,68400.0,72000.0,70200.0
114,Data Analyst Specialist - WC2,TALENTS@WORK PTE. LTD.,Singapore,Posted 17 days ago,,USD,48000.0,84000.0,66000.0
115,IT Data Analyst,ITCAN PTE. LIMITED,"Singapore, Robinson",Posted 17 days ago,,USD,66000.0,102000.0,84000.0
116,Data Analyst,RECRUIT EXPRESS PTE LTD,"Shenton Way, Singapore",Posted 17 days ago,,USD,84000.0,114000.0,99000.0
117,Data Analyst Intern (Minimum 5-Month Commitment),,"Singapore, Tai Seng",Posted 17 days ago,1,USD,12000.0,18000.0,15000.0
118,*NEW* 15 Months Contract Data Analyst ($6000- $7000) #NJE,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,"Orchard Road, Singapore",Posted 17 days ago,,USD,72000.0,84000.0,78000.0
119,15 Months Data Analyst #EEF,RECRUIT EXPRESS PTE LTD,"Orchard Road, Singapore",Posted 17 days ago,,USD,72000.0,84000.0,78000.0
120,Business Data Analyst,NETWORK GUARD PTE. LTD.,"Singapore, Thomson",Posted 17 days ago,,USD,72000.0,96000.0,84000.0
121,Business Data Analyst (JD#9846),PERSOLKELLY SINGAPORE PTE. LTD.,Singapore,Posted 17 days ago,,USD,60000.0,78000.0,69000.0
122,Business Data Analyst (JD#9879),UPPER SPRING CONSULTING PTE. LTD.,Singapore,Posted 17 days ago,,USD,66000.0,78000.0,72000.0
123,Data Analyst - Data Science and Advanced Analytics Team (9 Months Contract),HAYS SPECIALIST RECRUITMENT PTE. LTD.,Singapore,Posted 17 days ago,,USD,42000.0,84000.0,63000.0
124,"15 Months Data Analyst (ETL, SQL) #EEF",GMP TECHNOLOGIES (S) PTE LTD,"Orchard Road, Singapore",Posted 17 days ago,,USD,72000.0,84000.0,78000.0
125,Data Analyst,SINGAPORE INTERNATIONAL ARBITRATION CENTRE,Singapore,Posted 16 days ago,3,,,,
126,Data Analyst (Metadata),SCIENTE INTERNATIONAL PTE. LTD.,Singapore,Posted a month ago,,,,,
127,Business Data Analyst,THOMSON MEDICAL PTE. LTD.,Singapore,Posted a month ago,,,,,
128,TikTok Shop - Senior Data Analyst（Product Analyst),WECRUIT PTE. LTD.,Singapore,Posted 22 days ago,4,,,,
129,"Data Analyst, Digital Manufacturing",EPS COMPUTER SYSTEMS PTE LTD,"Singapore, Woodlands",Posted 21 days ago,2,,,,
130,"VP, Data Analyst, T&O Data Chapter, Group Transformation",LYNEER CORP (SINGAPORE) PTE. LTD.,Singapore,Posted 28 days ago,11,,,,
131,Product Data Analyst,ESGPEDIA PTE. LTD.,Singapore,Posted 24 days ago,4,,,,
132,Actuarial Data Analyst,RECRUIT EXPRESS PTE LTD,Singapore,Posted 23 days ago,1,,,,
133,"Associate/AVP, Data Business Analyst, Data Strategy Group (JR16162)",RECRUIT EXPRESS PTE LTD,"Singapore, Robinson",Posted 2 days ago,6,,,,
134,Consumer Insights and Analytics (Data Analytics) Analyst,,"Singapore, Bendemeer",Posted 2 days ago,1,,,,
135,"Associate/AVP, Data Business Analyst (Data Research Advisory), Data Strategy Group (JR16176)",RECRUIT EXPRESS PTE LTD,"Singapore, Robinson",Posted 2 days ago,6,,,,
136,Data Science Analyst,SHARKNINJA APAC HOLDING PTE. LTD.,Singapore,Posted 8 days ago,1,,,,
137,Data Analyst (Digital Transformation),SCIENTE INTERNATIONAL PTE. LTD.,Singapore,Posted a month ago,3,,,,
138,Data Governance Analyst,SCIENTE INTERNATIONAL PTE. LTD.,"Orchard Road, Singapore",Posted 17 days ago,,USD,84000.0,90000.0,87000.0
139,Enterprise Data Governance Analyst,BANK OF SINGAPORE LIMITED,Singapore,Posted 17 days ago,,USD,84000.0,108000.0,96000.0
140,"Data Analyst - Marketing Analytics, Regional Brand & Growth Marketing",RECRUIT EXPRESS PTE LTD,Singapore,Posted a month ago,1,,,,
141,Data Analyst,StarHub,"Singapore, Boon Lay, Jalan Boon Lay",Posted a month ago,,USD,60000.0,72000.0,66000.0
142,Data Analyst - JK,Elliott Moss Consulting Pte Ltd,Singapore,Posted a month ago,1,USD,48000.0,52800.0,50400.0
143,Data Analyst,Elliott Moss Consulting Pte Ltd,Singapore,Posted a month ago,4,,,,
144,Lead Data Analyst (International Centre for Aviation Innovation),TikTok,Singapore,Posted a month ago,1,,,,
145,Data Analyst - Fintech Company,GlobalFoundries,Singapore,Posted a month ago,1,,,,
146,"Sr Data Analyst , Information Analytics Services",DBS Bank,Singapore,Posted a month ago,6,,,,
147,Data Analyst Intern,Crypto.com,Singapore,Posted a month ago,1,,,,
148,"Asset and Wealth Management, Operations - Public, Data Analytics, Analyst/Associate, Singapore",Munich Re,Singapore,Posted 17 days ago,3,,,,
149,"Sr Data Analyst, Information Management Systems",GIC PRIVATE LIMITED,Singapore,Posted a month ago,3,,,,
150,Data Analyst (Internship),ASIAONE ONLINE PTE. LTD.,Singapore,Posted a month ago,1,,,,
151,Junior Data Analyst,,Singapore,Posted a month ago,1,,,,
152,Data Analyst,SHARKNINJA APAC HOLDING PTE. LTD.,Singapore,Posted a month ago,3,,,,
153,"Data Analyst, Data Centre",GIC PRIVATE LIMITED,Singapore,Posted a month ago,1,,,,
154,Data Analyst,Synapxe,"Shenton Way, Singapore",Posted a month ago,,USD,78000.0,102000.0,90000.0
155,"Data/Research Analyst (1 yr contract, up to $7k)",GMP Technologies,Singapore,Posted 17 days ago,,USD,72000.0,84000.0,78000.0
156,Data Analyst - AI Innovation Business,RECRUIT EXPRESS PTE LTD,Singapore,Posted a month ago,4,,,,
157,Senior/ Data Analyst (Data Analytics) (Contract),PRUDENTIAL ASSURANCE COMPANY SINGAPORE (PTE) LIMITED,Singapore,Posted a month ago,,USD,48000.0,72000.0,60000.0
158,Data Analyst - Buyer & Marketing (2025 Fresh Graduates),Shopee,Singapore,Posted a month ago,1,,,,
159,Data Analyst (JD#9757),ST ENGINEERING LAND MRO & SERVICES PTE. LTD.,Singapore,Posted a month ago,,USD,42000.0,54000.0,48000.0
160,Data Analyst - Contract,PASONA SINGAPORE PTE. LTD.,Singapore,Posted a month ago,2,,,,
161,Data Analyst,OSL,Singapore,Posted a month ago,1,,,,
162,Regional Operations Data Analyst,Civil Aviation Authority of Singapore,Singapore,Posted a month ago,2,,,,
163,"Data Analyst - Business Intelligence, Regional Operations",Empower Partners Singapore,Singapore,Posted a month ago,1,,,,
164,Regional Marketplace Operations Data Analyst,Tan Tock Seng Hospital,Singapore,Posted a month ago,1,,,,
