job_title,company_name,location,salary,skills,date_posted
"Data Analyst, Trust & Safety - 6 months contract",MEINHARDT SUIT PTE. LTD.,"Singapore, Raffles Link / Raffles Place","2 - 4 Years
•
USD 60,000 - 67,200 per month","Policy
referrals
Social Media
Ability To Work Independently
enforcement
Communication Skills
Written English
Critical Thinking
Customer Experience
Data Analysis
Inventory
social media strategy",Posted 17 days ago
Data Analyst | Bank | Contract,Razer (Asia-Pacific) Pte Ltd,Singapore,"5 - 7 Years
•
USD 54,000 - 96,000 per month","DRM Implementation and Management using Tivoli Storage Manager
Veritas Netbackup BAU operations for VM backup and recovery
IBM Spectrum Protect
LTO Tape Drives
NDMP Backup using IBM Tivoli Storage Manager
TSM Server and Client Options
IBM Tivoli Storage Manager for VMware
IBM Tivoli Storage Manager Server
Networking
Tape Libraries
Windows
UNIX
DB2",Posted 17 days ago
Data Analyst,OKX,"Singapore, Ubi","3 - 5 Years
•
USD 33,600 - 45,600 per month","statistical methods
Power Bi
data mining
Data Visualization
Data Cleaning
Machine Learning Algorithms",Posted 17 days ago
Data Analyst (Apprenticeship Programme),,"Singapore, Battery Road","2 - 5 Years
•
USD 20,400 - 24,000 per month","CRM Tools
Data Analysis
Data Management
google sheets
Hubspot
Microsoft Excel",Posted 17 days ago
#SGUNITED JOBS Data Analyst,PU TIEN SERVICES PTE. LTD.,Singapore,"3 - 6 Years
•
USD 60,000 - 108,000 per month","Feature engineering
Analytics
Power Bi
Pyspark
Data Integration
Data Cleaning
Microsoft Azure
Microsoft BI",Posted 17 days ago
Data Analyst (Proficient in German Language),Razer (Asia-Pacific) Pte Ltd,Singapore,"1 - 4 Years
•
USD 72,000 - 96,000 per month","Search and recommendations engines
Tableau
Sql
Python",Posted 17 days ago
Data Analyst (Healthcare Sector) - #SM,HAYS SPECIALIST RECRUITMENT PTE. LTD.,Singapore,"2 - 5 Years
•
USD 57,600 - 69,600 per month","Data Analysis
logical data models
data dictionaries
Data Management
Reporting Tools",Posted 17 days ago
"Temp Data Analyst Executive, Population Health Management (3 months) #HMS",MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Singapore,"2 - 5 Years
•
USD 44,400 - 50,400 per month","dashboard designing
Tableau",Posted 17 days ago
Senior Actuarial Data Analyst,GIORDANO ORIGINALS (SINGAPORE) PRIVATE LIMITED,"Singapore, Cross Street","5 - 10 Years
•
USD 60,000 - 108,000 per month","Data Services
Sql",Posted 17 days ago
Functional Data Analyst (Shipping Logistic BG),SMARTKARMA INNOVATIONS PTE. LTD.,"Orchard Road, Singapore","2 - 5 Years
•
USD 63,600 - 68,400 per month","Looker
Tableau",Posted 17 days ago
Data Analyst Intern,ITCAN PTE. LIMITED,Singapore,Fresher,"AI tools
dbt
Apache Superset
Gcp
Redshift
Sql
AWS",Posted 14 days ago
Data Analyst,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Singapore,"2 - 4 Years
•
USD 63,600 - 78,000 per month","Powerapps
Python
Sql",Posted 17 days ago
3 months contract to perm healthcare data analyst #HYS,TALENTS@WORK PTE. LTD.,"Orchard Road, Singapore","Fresher
•
USD 42,000 - 50,400 per month","Microsoft Office
Data Analytics",Posted 17 days ago
"Data Analyst, Private Bank",RECRUIT EXPRESS PTE LTD,"Singapore, Raffles Link / Raffles Place","1 - 4 Years
•
USD 48,000 - 72,000 per month","data accuracy
Data Analysis
data analysis scripts
sampling methodologies
data sampling
Programming Languages",Posted 17 days ago
Data Analyst (1 year contract),MUNICH MANAGEMENT PTE. LTD.,Singapore,"1 - 3 Years
•
USD 44,400 - 48,000 per month","Power Bi
Microsoft Office
Sql",Posted 17 days ago
Data Analyst,RECRUIT EXPRESS PTE LTD,"Singapore, Henderson Road","1 - 4 Years
•
USD 54,000 - 84,000 per month","Google Data Studio
Tableau
Sql",Posted 17 days ago
Data Analyst (QlikSense),Razer Inc.,Singapore,"1 - 4 Years
•
USD 54,000 - 62,400 per month","QlikSense Data Load Editor
MS SQL
MySQL
PostgreSQL
Qliksense
Python",Posted 17 days ago
"Data Analyst, AI & Data, Technology Consulting",ONE CONSULTING (GLOBAL) PTE. LTD.,Singapore,"1 - 3 Years
•
USD 57,600 - 84,000 per month","Data Security
Power Bi
Etl Development
Qlik
Data Governance
Data Warehousing
Sql",Posted 17 days ago
Business Data Analyst -GBS APAC - 2025 Start,RECRUIT EXPRESS PTE LTD,Singapore,Fresher,"Analytical Methods
BI visualization tools
Power Bi
Tableau
Data Analytics
Sql",Posted 15 days ago
