,job_title,company_name,location,experience,date_posted,currency,min_salary,max_salary,median_salary
102,Data Analyst,PASONA SINGAPORE PTE. LTD.,Singapore,,Posted a month ago,USD,54000.0,84000.0,69000.0
103,Data Analyst,Ad Astra Consultants,"Singapore, Kallang",,Posted a month ago,USD,42000.0,66000.0,54000.0
104,Data Analyst,Ambition Group Singapore Pte Ltd,"Singapore, Toa Payoh",,Posted a month ago,USD,60000.0,84000.0,72000.0
105,Carbon Data Analyst (Japanese speaking),Shopee,Singapore,3,Posted a month ago,,,,
106,Anti-Money Laundering Data Analyst - MariBank,MariBank,Singapore,1,Posted a month ago,,,,
107,Data Analyst,ACTIVATE INTERACTIVE PTE LTD,"Eunos, Singapore",,Posted a month ago,USD,72000.0,144000.0,108000.0
108,Data Analyst (Risk),ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,Singapore,,Posted a month ago,USD,84000.0,168000.0,126000.0
109,Data Analyst,XFERS PTE. LTD.,Singapore,,Posted a month ago,USD,48000.0,60000.0,54000.0
110,Data Analyst,WILLIAMS-SONOMA SINGAPORE PTE. LTD.,Singapore,,Posted a month ago,USD,60000.0,96000.0,78000.0
111,Data Analyst,90 SECONDS PTE. LTD.,"Singapore, Tai Seng",,Posted a month ago,USD,54000.0,78000.0,66000.0
112,Strategy Data Analyst,AEON SEARCH CONSULTING PTE. LTD.,Singapore,,Posted a month ago,USD,78000.0,102000.0,90000.0
113,DATA ANALYST / UP TO 10K,SHIELD AI TECHNOLOGIES PTE. LTD.,"Singapore, Raffles Link / Raffles Place",,Posted a month ago,USD,84000.0,120000.0,102000.0
114,Data Analyst,ANTER RECRUITMENT PTE. LTD.,Singapore,4,Posted a month ago,,,,
115,Data Analyst - JO3125,PYLON.AI PTE. LTD.,"Singapore, Raffles Link / Raffles Place",,Posted a month ago,USD,60000.0,66000.0,63000.0
116,Senior Actuarial Data Analyst,SPH MEDIA LIMITED,Singapore,7,Posted a month ago,,,,
117,Data Analyst ( Power BI SQL MDM ),,"Singapore, Raffles Link / Raffles Place",,Posted a month ago,USD,60000.0,72000.0,66000.0
118,Data Analyst - Contract,PASONA SINGAPORE PTE. LTD.,Singapore,2,Posted a month ago,,,,
119,Business & Data Analyst,Terrascope,Singapore,4,Posted a month ago,,,,
120,Data Analyst,MariBank,Singapore,,Posted a month ago,USD,84000.0,96000.0,90000.0
121,(VP/AVP) Data Analyst - Service Channels and Transformation,ACTIVATE INTERACTIVE PTE LTD,Singapore,5,Posted a month ago,,,,
122,"Manager (Data Analyst, Property Tax Division)",SHIELD AI TECHNOLOGIES PTE. LTD.,Singapore,1,Posted a month ago,,,,
123,Senior Data Analyst,90 SECONDS PTE. LTD.,Singapore,,Posted a month ago,USD,45600.0,62400.0,54000.0
124,Data Analyst,ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,"Singapore, Boon Lay, Jalan Boon Lay",,Posted a month ago,USD,60000.0,72000.0,66000.0
